date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:42	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:41%20GMT	https://www.zoomcar.com/ludhiana	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/ludhiana	(from https://www.zoomcar.com/)
17:04:43	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:42%20GMT	https://www.zoomcar.com/mangalore	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/mangalore	(from https://www.zoomcar.com/)
17:04:43	51750/51750	---M-Z	200	added ('OK')	text/html	etag:%22d94e2c6a635aaf51c059e957587c8fca%22	https://www.zoomcar.com/chennai/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/chennai/index.html	(from https://www.zoomcar.com/)
17:04:43	51721/51721	---M-Z	200	added ('OK')	text/html	etag:%22a82607f2bf4953c80328314776d8419a%22	https://www.zoomcar.com/hyderabad/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/hyderabad/index.html	(from https://www.zoomcar.com/)
17:04:43	51898/51898	---M-Z	200	added ('OK')	text/html	etag:%22ca875708d0348ce457b692f2fa9073ee%22	https://www.zoomcar.com/chandigarh/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/chandigarh/index.html	(from https://www.zoomcar.com/)
17:04:43	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:42%20GMT	https://www.zoomcar.com/mysore	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/mysore.3e.delayed	(from https://www.zoomcar.com/)
17:04:44	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:43%20GMT	https://www.zoomcar.com/vizag	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/vizag	(from https://www.zoomcar.com/)
17:04:44	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:43%20GMT	https://www.zoomcar.com/nagpur	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/nagpur	(from https://www.zoomcar.com/)
17:04:44	49508/49508	---M-Z	200	added ('OK')	text/html	etag:%22d5d3841c020509d3f0ad2b3beb01528a%22	https://www.zoomcar.com/kolkata/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/kolkata/index.html	(from https://www.zoomcar.com/)
17:04:44	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:43%20GMT	https://www.zoomcar.com/kochi	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/kochi	(from https://www.zoomcar.com/)
